com.samsung.shealth.calories_burned.details,6151003,1
version,extra_data,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
,f1ed7226-4006-4e24-856b-1fa1459c0f18.extra_data.json,0.0,0,1599.01,2021-02-04 15:29:02.616,2021-02-04 15:29:02.616,0.0,hzysVghu3B,com.sec.android.app.shealth,f1ed7226-4006-4e24-856b-1fa1459c0f18,1611792000000,
,6d8abdb1-e340-497b-98d3-a459e8828b66.extra_data.json,0.0,0,1599.01,2021-02-04 15:29:02.585,2021-02-04 15:29:02.585,0.0,hzysVghu3B,com.sec.android.app.shealth,6d8abdb1-e340-497b-98d3-a459e8828b66,1611705600000,
,6a1cb795-5317-4b1c-bf99-69ecc43b803b.extra_data.json,0.0,0,1599.01,2021-02-04 15:29:02.779,2021-02-04 15:29:02.779,0.0,hzysVghu3B,com.sec.android.app.shealth,6a1cb795-5317-4b1c-bf99-69ecc43b803b,1612310400000,
,78fbb7ef-fbc4-4ce1-aa89-4f90ef8be14c.extra_data.json,0.0,0,1599.01,2021-02-04 15:29:02.424,2021-02-04 15:29:02.424,0.0,hzysVghu3B,com.sec.android.app.shealth,78fbb7ef-fbc4-4ce1-aa89-4f90ef8be14c,1611360000000,
,0015c3c7-550c-451d-abb7-3b0676bffa15.extra_data.json,0.0,0,1599.01,2021-02-04 15:29:02.641,2021-02-04 15:29:02.641,0.0,hzysVghu3B,com.sec.android.app.shealth,0015c3c7-550c-451d-abb7-3b0676bffa15,1611878400000,
,e74d4395-c04c-46fc-a14b-38bed3f5c6a3.extra_data.json,0.0,0,1599.01,2021-02-04 15:29:02.743,2021-02-04 15:29:02.743,0.0,hzysVghu3B,com.sec.android.app.shealth,e74d4395-c04c-46fc-a14b-38bed3f5c6a3,1612224000000,
,4ce6b148-f1e2-44fa-9632-d154b6c3627e.extra_data.json,0.0,0,1549.7639,2021-02-05 19:45:39.072,2021-02-04 20:30:00.787,0.0,hzysVghu3B,com.sec.android.app.shealth,4ce6b148-f1e2-44fa-9632-d154b6c3627e,1612483200000,
,d0490d3e-b8e0-49bb-9753-386098f83f57.extra_data.json,0.0,0,1599.01,2021-02-04 15:29:02.076,2021-02-04 15:29:02.076,0.0,hzysVghu3B,com.sec.android.app.shealth,d0490d3e-b8e0-49bb-9753-386098f83f57,1610409600000,
,4959c871-4e8c-4bf2-8d1e-46fb15ef23c5.extra_data.json,0.0,0,1599.01,2021-02-04 15:29:02.294,2021-02-04 15:29:02.294,0.0,hzysVghu3B,com.sec.android.app.shealth,4959c871-4e8c-4bf2-8d1e-46fb15ef23c5,1610928000000,
,f8ea41a3-8b46-4b18-949a-c8fd8307f2b4.extra_data.json,0.0,0,1599.01,2021-02-04 15:29:02.454,2021-02-04 15:29:02.454,0.0,hzysVghu3B,com.sec.android.app.shealth,f8ea41a3-8b46-4b18-949a-c8fd8307f2b4,1611446400000,
,8c56d0e1-720d-408c-b4fd-17d299b9e3ac.extra_data.json,0.0,0,1599.01,2021-02-04 15:29:02.657,2021-02-04 15:29:02.657,0.0,hzysVghu3B,com.sec.android.app.shealth,8c56d0e1-720d-408c-b4fd-17d299b9e3ac,1611964800000,
